index,id,is_relevant,target,source,action,action_type,location,date,country,year,news
aRXMYnPGnFrQ.TgRMchevKeVzhhm-news_satp_15.tsv_498,57038,TRUE,"['Security Forces', 'Police head constable']","['Communist Party of India Maoist', 'CPI Maoist']","['killed', 'exchange of fire', 'killed', 'killed']","['Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault']","['Narayanpur', 'Narayanpur']",['August 16'],india,2011,"Four cadres of the Communist Party of India Maoist (CPI Maoist) were killed in the August 16 exchange of fire with the Security Forces in Tirkanar forest area under Dhaudai Police Station in Narayanpur District. Earlier it was reported that three Maoists were killed in the incident and the incident occurred in Bastar District. Narayanpur District Superintendent of Police (SP) Mayank Srivastav said that the bodies of the Maoists have been recovered and rural Police have been called in to identify the deceased. As reported earlier, a Police head constable was also killed in the incident."
ab7TDNo4yMF8mAUBoY2QKF_e0_1S-news_satp_15.tsv_497,23795,FALSE,[],[],[],,[],[],bangladesh,2013,"ICT 1 on July 15 said that the JeI, as a political party under the leadership of Ghulam Azam, had deliberately functioned as a criminal organisation, especially during the Liberation War in 1971, repoprts The Independent. The ICT also observed that the JeI could not gauge common peoples pulse during the independence of both Pakistan and Bangladesh, played a detrimental role on the two great occasions, and did not contribute anything towards the creation of Bangladesh and Pakistan. The JeI, a religion based political party and a brainchild of controversial Islamist thinker Maulana Maududi, was significantly pro active to destroy the Bangalee nation in the name of safeguarding Pakistan, in collaboration with the Pakistan occupation army."
a.R7ohZHOTo2PsxMzGN1yY_w67F4-news_satp_15.tsv_476,19619,FALSE,[],[],[],,[],[],pakistan,2014,"TTPs Mohmand Agency chapter chief Umar Khalid Khurasani on March 11 vowed to abide by the ceasefire negotiated between the Government and TTP despite the outfits claim of killing 23 Frontier Corps (FC) soldiers, reports Dawn. Peace talks had reached a deadlock after the killing of the soldiers. In a written statement to the media, Khurasani said the outfit did not have any plan to attack former President General (retired) Pervez Musharraf or anyone else for that instance. He also said the militant outfit was obeying ceasefire as negotiated by the central leadership of the TTP. He said security and intelligence agencies were misguiding people. We abide by ceasefire and have no plan to attack Musharraf or anyone else, said Khurasani."
a0HIIySeqhXvl6bZGunCsWE0CpMK-news_satp_15.tsv_500,63847,FALSE,[],[],[],,[],[],nepal,2011,"two days after joining the Government, Pushpa Kamal Dahal on March 6 instructed ministers from his party on the new priorities in the Government, reports Kantipuronline. Dahal urged the ministers not to spend much time in public programmes and inaugurations. You should focus more on ministerial tasks than unnecessarily killing time at public functions that will have a negative impression on the people, said Dahal. The Maoists claimed they have joined the Government to ensure peace and constitution. However, Minister for Tourism Khadka Bahadur Bishwokarma said their presence in the Government is a tactical move to ensure people s regime. For us, Constituent Assembly is just a tool to fulfil our goals, he said."
acl037iT6sIH_M7DyhU3SkUS7SFe-news_satp_15.tsv_499,32022,TRUE,"['Policeman', 'persons', 'Police', 'Police']",[],"['killed', 'injured', 'bomb attack']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']",['Orangi'],[],pakistan,2013,"A Policeman was killed and five other persons, including two Police, were injured in a bomb attack targeting a Police van in Orangi town."
amtgvs.sfovK36bXGsN3PhNWXXBm-news_satp_15.tsv_496,31375,FALSE,[],[],[],,[],[],india,2013,"Miscreants planted an IED at the gate of one Mayengbam Kanto (55) of Wabagai Awang Leikai on December 20, reports The Sangai Express. After Kanto found the explosive while cleaning the area at around 11.30 am, Police bomb experts disposed off the bomb at a secluded place safely."
a0TBn5iyZ4I9XusMujQXRis4x4au-news_satp_15.tsv_483,33732,TRUE,"['people', 'tribal elder', 'tribal elder']",['suicide bomber'],"['killed', 'injured', 'explosion', 'killed']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']","['Doaba', 'Hangu', 'Hangu']",['July 8'],pakistan,2013,"At least eight people were killed and 11 others were injured when a suicide bomber while targeting tribal elder Malik Habibullah Khan drove his motorcycle into the car of the tribal elder in the Torha Warhai area of Doaba Bazaar in Hangu city of Hangu District on July 8, reports The Express Tribune. At the time of the explosion, Malik Habibullah was not in the vehicle but his brother Malik Abdullah and two cousins were killed. Deputy Superintendent of Police (DSP) Shaukat Ali Shah confirmed that the bomber wanted to target Malik Habibullah who has been actively involved in counter insurgency efforts in the region. He had been receiving threats from militants based in Kurram and Orakzai Agencies of Federally Administered Tribal Areas (FATA)."
agjQwnK7zMHwA9D1FSjk3AcOM87K-news_satp_15.tsv_448,55663,TRUE,['Chhattisgarh Armed Force'],['Maoist'],"['injured', 'attack']","['Unknown', 'Unknown']",['Narayanpur'],['June 9'],india,2011,Chhattisgarh Armed Force trooper who was injured in the June 9 Maoist attack in Narayanpur District succumbed to his injuries taking the death toll to five.
a.mjjod_pQ0Z5tumXn0mCmN23Oaa-news_satp_15.tsv_435,62829,FALSE,[],[],[],,[],[],pakistan,2011,"The identity of the three militants, among four, killed in October 14 US drone missile strike in Darpakhel village, four kilometres west of Miranshah, in North Waziristan Agency was disclosed on October 16. Out of the four militants killed in the strike three were Egyptians linked to the Haqqani Network. One militant was identified as Abdullah, who played a key role in handling the militant groups finances in Pakistan and Afghanistan. In addition, an Afghan Taliban commander said that another militant killed in the strike was identified as Ahmed Omar Abdel Rahman, the son of a blind Egyptian cleric Sheikh Omar Abdel Rahman, serving a life sentence in the US since 1995 for plotting to attack New York City landmarks. Ahmed Omar had been living in a village in North Waziristan for the past three years and encouraged the TTP militants to halt its campaign against the Islamabad Government and help the Afghan Taliban in their fight against the US led NATO forces in Afghanistan. A fourth militant who was also killed has not been identified."
a2W9dJFVdmUcGNo_VcBov9ZKivE4-news_satp_15.tsv_434,6921,FALSE,[],[],[],,[],[],india,2015,"NIA (National investigation agency) arrested one person, identified as Amirul Sheikh from Golapganj village under Golapganj Police Outpost on December 18, reportedly in connection with running a Fake Indian Currency Note (FICN) peddling racket in Kaliachak of Malda District, reports echoofindia.com. It is learnt from sources that Sheikh was produced in court on December 19 and taken into transit remand by NIA. He would be taken to Delhi and grilled to get more information on fake currency peddling, the source informed. It is further learnt from sources that the NIA team may raid different areas in Malda District to arrest at least two others for reportedly having a strong connection with FICN peddling racket."
anmwzeA2MK3ExB._0DDltHg9maeC-news_satp_15.tsv_463,18537,FALSE,[],[],[],,[],[],india,2014,"Six persons, suspected to be the cadres of the Songbijit faction of the National Democratic Front of Bodoland (NDFB IKS), who had allegedly come to abduct a trader were arrested from Dilbazar railway market at Nilibari in Chirang District on December 9, reports The Telegraph. The arrested youths have been identified as Surat Basumatary, Ajay Basumatary, Derhasat Narzary, Rinkhang Narzary, Jiban Basumatary and Fokhon Narzary. Dhaligaon Police in Chirang District were also on the lookout for the youths as they were involved in abductions in the District. A pistol, seven rounds of bullets and a hand grenade were recovered from them."
ah13bBwP6Xma8Np1dDV0NHocGLhu-news_satp_15.tsv_467,17277,FALSE,[],[],[],,[],[],india,2014,"Times of India reports on October 14 that recent flash floods in the Garo Hills have destroyed many rebel camps in Meghalaya. According to top Police officers, rebels camps and hideouts in the upper reaches of the Garo Hills have been destroyed. And with so many people being displaced suddenly, and economic activity coming to a standstill, the rebels cannot extort or engage in criminal activities. Another intelligence officer stated that Garo National Liberation Army (GNLA) is facing similar troubles and this could be a reason for the sudden rise in surrenders this month."
aqndZEb.bzjuH2YBRv4Lpxga_.3q-news_satp_15.tsv_452,35496,FALSE,[],[],[],,[],[],pakistan,2013,"The Punjab Government has separated the Counter Terrorism Department (CTD)  the only department in the Punjab that deals with terrorism  from the police, replacing it with a new department, documents available with The News show. According to well placed sources, the new department has been put under the Home Department as a result of bid by the Punjab bureaucrats to adjust a few men. According to sources, the Prime Minister and the Chief Minister, who consider Turkish model as the ideal, were misled by the Punjab officials while presenting a vague picture of the organisational structure of the police and counter terrorism department perhaps leading to the official demise of the CTD. A presentation given to Prime Minister Muhammad Nawaz Sharif on the establishment of a new department under the Home Department instead of Police states that the PM was told that the structure of new CTD has been decided in view of international practice and value for money. The presentation also talks of security meeting at Ankara with Turkish counterparts."
