id,is_relevant,target,source,action,action_type,location,date,country,year,news
26755,False,,,,,,,india,2016,"The four SIMI men who had escaped from Tantya Bheel Jail in Khandwa District of Madhya Pradesh on October 1, 2013 have revealed during questioning by intelligence agencies and Madhya Pradesh (MP) ATS, that they had learnt how to make low intensity pressure bombs out of al Qaeda’s bomb making literature.In addition, it was revealed that the pipe borne explosives were subsequently triggered with the help of timer device in May 2014 in the Bengaluru Guwahati Express train at Chennai railway station. Similar explosive was used to trigger blast in the Faraskhana police station premises at Pune in July 2014, central intelligence and MP ATS sources stated on March 14."
30425,False,,,,,,,india,2016,"A person, identified as Madhusudan Meher was arrested in Sunarimunda of Kandhamal District in Odisha on charges of circulating counterfeits of newly released INR 2,000 notes, said Police on November 22, reports Hindustan Times. Madhusudan was arrested while he was trying to use Fake Indian Currency Note (FICN) at a petrol pump in Sunarimunda. The employee of a Maruti filling station at Sunarimunda suspected the bills and reported the matter to the owner who then alerted the Police. “The currency is a colour photocopy of an original Rs 2,000 note. A case was registered and investigation is on,” said Sub divisional Police Officer (SDPO) of Jharsuguda, Bijay Nanda. Meher works as an engineer in a steel company."
27060,False,,,,,,,india,2016,"The first batch of Special Multi Task Force 10 (SF 10) is likely to be raised by June this year, reports The Shillong Times on April 8. Informing this on April 7, a senior Meghalaya Police official said that presently selected candidates were undergoing commando training. Against 1200 posts, only 530 candidates were recruited."
25712,False,,,,,,,india,2016,"According to sources, at least 31 militants were killed and over 766 arrested by Security Forces (SFs) in ‘Operation All Out’ in the state over the past one year, reports The Times of India on January 2. The Army launched the operation to flush out rebels of the IK Songbijit faction of the National Democratic Front of Bodoland (NDFB IKS) after the militants gunned down over 69 Adivasis on December 23, 2014. The operation, which completed a year, is still on. The security situation in the state in 2015 was grim in the aftermath of the mass killings of Adivasis. The scars of the May 2014 killings of 46 Muslims were yet to be healed. Relentless operations resulted in significant improvement of the security situation in the state, with the seizure of more than 443 firearms and many arrests, said Defence Public Relations Officer (PRO), Lieutenant Colonel Suneet Newton. The Army also claimed that most terrorist groups, including NDFB IKS and Karbi People s Liberation Tigers (KPLT) had gone on the back foot with their activities severely curtailed. This was achieved through synergistic intelligence based joint operations of the Army, Assam Police, Central Armed Police Forces and coordination with the state administration, the defence statement added. The Army made sure of community development initiatives to meet the aspirations of Bodoland Territorial Autonomous Districts (BTAD) by organizing events such as the Bodoland Territorial Council (BTC) Army Goodwill Football Premier League to provide a platform to local youth to showcase their talent. The Army said it will facilitate the success of upcoming events in the state, including the SAF Games and the assembly election."
29212,False,,,,,,,india,2016,"Sending out a strong signal to Pakistan on terrorism emanating from its soil, US Secretary of State John Kerry lauded India’s efforts in Afghanistan and said a trilateral talk among India, the US, and Afghanistan would take place next month, Business Standard reports on August 31. Kerry said the US would help India bring the perpetrators of the 2008 Mumbai attack (26 11) and the 2016 Pathankot attack to justice. “We will not make distinctions between good and bad terrorists. Terror is terror, no matter from where it comes from or who carries it out,” said Kerry, adding “We had conversations will all members of the region about the efforts they need to take to curb the terrorism that comes out of their countries. It is crystal clear the US and India are of exactly of similar minds with respect to terrorism.”Kerry also stated, “We all are in touch with Pakistan in one way or the other. I have recently spoken to Pakistan Prime Minister (Nawaz Sharif) and General Raheel Sharif regarding the need of Pakistan to deprive any terrorist group of sanctuary. It is well known that the Haqqani group has operated out of the western part of the country. Lashkar e Taiba LeT is a threat we all know. It is vital that Pakistan join other countries in tackling the challenge and in fairness they have been moving more authoritatively in the western part of the country .India’s External Affairs Minister Sushma Swaraj said Pakistan was responsible for the suspension of talks between the two countries. “If talks were to be resumed, we expect Pakistan to first show some action on the perpetrators of the Pathankot attack. Terrorism and talks can’t go hand in hand.”"
30855,False,,,,,,,india,2016,"Suspected Islamic State (IS) cadre Mohammed Masiuddin alias Musa (25), allegedly had planned to attack the Mother House, headquarters of the Missionaries of Charity located in Mullick Bazar in Kolkata in West Bengal, reports The Indian Express on December 26. This is according to a December 23 charge sheet filed by the National Investigation Agency (NIA) in Bankshall court in Kolkata. Musa was arrested earlier this year for his alleged links to terror groups such as Islamic State (IS) and Jama atul Mujahideen Bangladesh (JMB). The Mother house is visited by foreigners frequently. According to the NIA, during interrogation, Musa had allegedly revealed his plans to attack and the Mother House, which he claimed to be a ‘soft target’. According to Police sources, security has been increased in and around Mother House area now. Musa is currently under judicial custody till January 3, 2017."
25782,False,,,,,,,india,2016,"Around 1,000 Army men and Punjab Police personnel have converted Pandher village, around 2 kilometer from the Tibri cantonment in Punjab, following reports that two armed men in Army uniform were seen moving around in a suspicious manner in the area, The Tribune reports on January 6. Two SWAT teams of the Punjab Police have also reached the area. “The threat is real. It is not a hoax call. We have sounded an alert throughout the state,” said an official. “The Army has got vacated 500 houses in Pandher and adjoining Bhulechak and Babbehali villages,” sources said. The terrorists who attacked the Pathankot air base and the Dinanagar Police Station were also in Army uniform. “The fact that the cantonment area is just 2 km away has added to our worries. We cannot take chances. More forces are being requisitioned,” the official said."
25540,False,,,,,,,bangladesh,2016,"JeI on September 3, called a countrywide eight hour hartal (general strike) from 6 00am on September 5 in protest at what they called ‘the government’s planned killing’ of the party’s central executive member Mir Quasem Ali, reports New Age. JeI’s acting ‘secretary general’ Shafiqur Rahman announced the programme in a statement emailed to media houses minutes after Mir Quasem’s death sentence was executed in Kashimpur Central Jail 2 in Gazipur for committing war crimes in Chittagong in 1971. He also announced prayer sessions at home and abroad for the deceased. It said that the ambulances, corpse carrying vehicles, hospitals, fire service cars, vehicles carrying hajj pilgrims and newspapers would remain out of the purview of hartal."
31320,False,,,,,,,pakistan,2016,"While addressing a press conference at the Karachi Press Club on March 16 Baloch Republican Party (BRP) Ailaaf Baloch and Afshan Baloch said that more than 70 members of the party had been missing for several months and emphasised that the situation in Balochistan could only be normalised if aspirations of Baloch people were kept supreme, reports Dawn. They urged the authorities concerned to give their right arm to solve the simmering problem in Balochistan.They recalled that Balochistan had plenty of natural resources, yet its people were unable to have clean drinking water, education and healthcare facilities. They pointed out that giving Baloch people their rights on a priority basis would be a huge step. They said the BRP had been raising its voice for the recovery of its members who, they claimed, were victims of enforced disappearances."
33267,False,,,,,,,srilanka,2016,"A high level delegation of defence officials including the Secretary of Defence Karunasena Hettiarachchi and Commander of Army Lieutenant General Crishanthe De Silva on July 23 visited and evaluated the status quo of the Army released civilian lands in Jaffna and the progress of the ongoing house construction projects of the Army for accelerated resettlement of the displaced persons, reports Colombo Page. The visit, aimed at exploring possibilities for acceleration of ongoing resettlement projects, livelihood promotion programs, progress of micro and macro economy enterprises and promotion of other reconciliatory moves, was undertaken on the instructions of President Maithripala Sirisena and Minister of Prison Reforms, Rehabilitation, Resettlement and Hindu Religious Affairs D. M Swaminathan."
27585,False,,,,,,,india,2016,"Personnel of District Voluntary Force (DVF) found a powerful Improvised Explosive Device (IED) in a forest near Nalaghata in Gajapati District during a combing operation on May 11, reports The Times of India. The bomb disposal squad from Paralakhemundi safely defused the IED, weighing 20 kg, said Superintendent of Police (SP), Gajapati, Satyajit Nayak. The IED is suspected to have been planted by the Maoists about three to four years ago."
25703,False,,,,,,,bangladesh,2016,"Monirul Islam, chief of Counterterrorism and Transnational Unit (CTTC) on December 27 said Female militants got evolved in militancy under the pressure of their husbands, reports The Independent. Monirul said Police did not find any evidence of women joining militant activities willingly as they did it under the husbands’ influence. He said “We got information about their involvement in militancy from the arrested female militants.”"
